date,description,amount
2024-01-01,ACH D- HP PETROL PUMP-743402,-436.76
2024-01-01,KFC 789491,-953.67
2024-01-02,SALARY CREDIT DELHI,179401.17
2024-01-03,ACH D- SAGAR RATNA-569428,-873.24
2024-01-03,UPI/569690137/PIZZA HUT/oksbi,-912.45
2024-01-04,ACH D- MICROSOFT 365-907906,-1007.44
2024-01-04,ACH D- PAYTM INSIDER-599799,-1598.93
2024-01-05,ACH D- PUNJABI DHABA-600995,-826.62
2024-01-05,POS 7575XXXXXX1045 H&M BANGALORE,-3695.47
2024-01-05,RAPIDO *33319,-761.04
2024-01-06,UPI-IRCTC-097499822932@ybl,-511.65
2024-01-07,BLUE TOKAI *88173,-1459.95
2024-01-07,BLUE TOKAI BANGALORE,-1672.08
2024-01-07,BLUE TOKAI CHENNAI,-2279.07
2024-01-07,BLUE TOKAI HYDERABAD,-1012.78
2024-01-07,BWSSB WATER NOIDA,-2055.46
2024-01-07,POS 1516XXXXXX2796 RAPIDO HYDERABAD,-986.89
2024-01-07,UPI-HP PETROL PUMP-934776655338@axl,-436.16
2024-01-07,UPI/036120774872/BLUE TOKAI/oksbi,-2202.45
2024-01-07,UPI/403380808/BLUE TOKAI/oksbi,-1330.91
2024-01-07,UPI/886934285684/BLUE TOKAI/ybl,-1549.80
2024-01-08,ACH D- EATSURE-623108,-946.18
2024-01-08,APPLE STORE GURGAON,-6292.27
2024-01-08,UPI-RAPIDO-382299475@axl,-634.02
2024-01-09,SAGAR RATNA CHENNAI,-1259.80
2024-01-09,UPI/922168258/UBER/okhdfc,-1155.98
2024-01-11,ACH D- CHAAYOS-958831,-1554.14
2024-01-11,UPI/708004716/EATSURE/okhdfc,-611.89
2024-01-12,HALDIRAMS HYDERABAD,-1254.59
2024-01-13,RAPIDO *57465,-979.63
2024-01-14,BLUE TOKAI *70554,-668.02
2024-01-14,UPI/180949350443/ICLOUD/ybl,-476.21
2024-01-14,UPI/365267131895/RAPIDO/ybl,-1139.81
2024-01-15,ACH D- OLA CABS-861397,-467.42
2024-01-15,HALDIRAMS *73021,-1080.60
2024-01-16,ACH D- HOTSTAR-714416,-592.65
2024-01-16,PIZZA HUT CHENNAI,-1164.22
2024-01-17,BWSSB WATER *23599,-3438.00
2024-01-17,INOX BANGALORE,-4460.37
2024-01-17,POS 5023XXXXXX3356 SHARMA KIRANA HYDERABAD,-1982.48
2024-01-18,FRESH VEGETABLES MART NOIDA,-2425.44
2024-01-18,HP PETROL  875074,-1351.95
2024-01-18,UPI/069555900086/BOOKMYSHOW/oksbi,-2530.38
2024-01-18,ZEPTO *76395,-1530.71
2024-01-19,ACH D- BURGER KING-773178,-1560.61
2024-01-19,UPI/051981205366/BLUE TOKAI/okhdfc,-795.98
2024-01-19,UPI/375462725/CHAAYOS/okhdfc,-664.31
2024-01-20,UPI-GOOGLE ONE-437144122253@ybl,-353.06
2024-01-20,UPI/519552120879/MICROSOFT 365/oksbi,-560.30
2024-01-21,ACH D- BOOKMYSHOW-396667,-3861.84
2024-01-21,ACH D- CULT FIT-533617,-784.10
2024-01-21,BURGER K 814400,-692.56
2024-01-21,UPI-YOUTUBE PREMIUM-051281748027@axl,-575.57
2024-01-21,ZOMATO BANGALORE,-629.90
2024-01-22,ACH D- AMAZON PRIME-265903,-580.58
2024-01-22,NOBROKER RENT *38363,-51940.90
2024-01-22,POS 1590XXXXXX6140 INDIAN OIL PETROL DELHI,-737.60
2024-01-23,PVR CINEMAS CHENNAI,-5217.97
2024-01-23,UPI-BOOKMYSHOW-428607283770@icici,-777.94
2024-01-24,CHAAYO 276532,-1466.68
2024-01-24,EATSURE *24223,-2064.36
2024-01-24,RAPIDO CHENNAI,-947.19
2024-01-27,PAYTM IN 788384,-2511.06
2024-01-29,DELHI METRO DELHI,-952.60
