date,description,amount
2024-01-01,PVR CINEMAS BANGALORE,-813.61
2024-01-01,UPI/267745856/BLINKIT/okhdfc,-742.30
2024-01-02,PANTALOONS NOIDA,-4599.57
2024-01-02,POS 5421XXXXXX2348 URBAN COMPANY PUNE,-9609.22
2024-01-02,POS 6271XXXXXX1760 ZOMATO BANGALORE,-189.74
2024-01-02,POS 8780XXXXXX8364 YOUTUBE PREMIUM HYDERABAD,-654.70
2024-01-03,OLA CABS *97271,-123.72
2024-01-04,SALARY CREDIT NOIDA,53505.58
2024-01-04,UPI-PHARMEASY-195072417@ybl,-765.38
2024-01-06,ACH D- HP PETROL PUMP-822986,-163.92
2024-01-06,UPI-BOX8-628399705192@ybl,-272.49
2024-01-06,UPI/114326081/BLUE TOKAI/okhdfc,-568.74
2024-01-06,UPI/703738703/DREAM11/paytm,-477.73
2024-01-07,RAPIDO GURGAON,-115.73
2024-01-08,ACH D- KFC-517446,-242.97
2024-01-09,KFC 604218,-316.35
2024-01-09,POS 3583XXXXXX3472 KFC CHENNAI,-507.84
2024-01-10,BIGBASKET DELHI,-490.45
2024-01-10,POS 5549XXXXXX9631 SWIGGY GURGAON,-314.89
2024-01-10,UPI/129075132/PAYTM INSIDER/ybl,-855.48
2024-01-11,POS 2376XXXXXX8350 BMTC BUS PASS CHENNAI,-224.10
2024-01-11,STARBUC 606317,-209.75
2024-01-11,UPI/480367607374/HALDIRAMS/ybl,-375.51
2024-01-12,OLA CABS HYDERABAD,-187.24
2024-01-12,RAPIDO *97801,-111.53
2024-01-13,PIZZA H 287714,-222.75
2024-01-14,AIRTEL POSTPAID *43210,-1768.16
2024-01-15,ACH D- BIGBASKET-548504,-1022.36
2024-01-15,UPI/035299877248/BLUSMART/paytm,-561.53
2024-01-15,UPI/437001519/CHAAYOS/paytm,-475.27
2024-01-16,ACH D- BHARAT GAS-594442,-1340.15
2024-01-16,ACH D- OLA CABS-428687,-166.02
2024-01-16,POS 9964XXXXXX2120 OYO ROOMS DELHI,-10407.34
2024-01-17,BLUSMART DELHI,-201.46
2024-01-17,BOOKMYSHOW *91112,-1040.72
2024-01-17,MCDONALDS NOIDA,-177.62
2024-01-17,SPOTIFY *57955,-338.72
2024-01-18,HALDIRAMS *36236,-359.62
2024-01-18,POS 7073XXXXXX8176 RAPIDO NOIDA,-169.61
2024-01-19,ACH D- MCDONALDS-290618,-415.58
2024-01-19,POS 1692XXXXXX1967 FLIPKART GURGAON,-2163.34
2024-01-19,POS 7008XXXXXX5782 NYKAA MUMBAI,-1775.31
2024-01-21,BURGER KING DELHI,-636.78
2024-01-21,MICROSOFT 365 DELHI,-97.32
2024-01-21,STARBUCKS *20169,-381.96
2024-01-22,ACH D- FRESH VEGETABLES MART-380838,-1091.57
2024-01-22,FRESH VEGETABLES MART *24222,-1088.30
2024-01-22,FRESH VEGETABLES MART *33856,-849.25
2024-01-22,FRESH VEGETABLES MART *42952,-735.17
2024-01-22,FRESH VEGETABLES MART *51200,-987.37
2024-01-22,UPI/585423178963/FRESH VEGETABLES MART/paytm,-1094.87
