date,description,amount
2024-01-02,SALARY CREDIT HYDERABAD,59427.46
2024-01-03,ACH D- OLA CABS-986934,-211.73
2024-01-04,BLINKIT NOIDA,-1049.18
2024-01-11,POS 6897XXXXXX8413 RAPIDO MUMBAI,-110.98
2024-01-12,ACH D- NOBROKER RENT-233426,-4588.85
2024-01-14,UPI/714220005185/DELHI METRO/oksbi,-118.43
2024-01-16,STARBUCK 407049,-364.09
2024-01-17,POS 4657XXXXXX5533 GOLDS GYM NOIDA,-404.65
2024-01-18,OLA CA 461589,-107.18
2024-01-18,UPI-BURGER KING-971054806@axl,-906.62
2024-01-19,MORE SUPERMARKET *00487,-1466.83
2024-01-19,UPI/732858941248/SPENCERS/okhdfc,-1451.03
2024-01-20,ACH D- GUPTA PROVISION STORE-476995,-1459.70
2024-01-20,BLINKIT *43381,-1203.57
2024-01-22,POS 2192XXXXXX1045 SPENCERS PUNE,-1047.84
2024-01-22,UPI-BHARAT GAS-632905188266@ybl,-1273.08
2024-01-22,UPI-VI RECHARGE-575435529@ybl,-1338.36
2024-01-24,POS 9062XXXXXX4925 BHARAT PETROLEUM CHENNAI,-77.07
2024-01-24,ZOMATO *29608,-180.11
2024-01-26,SAGAR RATNA BANGALORE,-362.75
2024-01-26,UPI-SHELL FUEL-653521882@icici,-192.94
2024-01-28,GUPTA PROVISION STORE PUNE,-1180.65
2024-01-29,POS 2740XXXXXX1446 SAGAR RATNA CHENNAI,-695.32
2024-01-31,FRESH VEGETABL 895033,-875.30
2024-02-01,BIGBASKET *77791,-1244.11
2024-02-01,BOX8 159947,-303.11
2024-02-02,NOBROKER RENT MUMBAI,-8254.68
2024-02-02,OLA CABS *89121,-106.17
2024-02-03,UPI/834629819689/STARBUCKS/ybl,-468.20
2024-02-04,SALARY CREDIT BANGALORE,58411.34
2024-02-06,ACH D- STARBUCKS-280059,-151.48
2024-02-06,DELHI METRO *19085,-51.46
2024-02-06,RAPIDO 369720,-94.01
2024-02-06,UPI-GOOGLE ONE-335438599246@axl,-142.47
2024-02-07,MEESHO *12210,-878.75
2024-02-08,TATA POWE 010883,-636.78
2024-02-08,UPI/128764936887/STARBUCKS/oksbi,-185.26
2024-02-09,UPI-MCDONALDS-783174080@axl,-204.77
2024-02-10,UPI-BMTC BUS PASS-045518801270@ybl,-93.00
2024-02-10,UPI/158879215536/HP PETROL PUMP/ybl,-82.58
